,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
A.J. Greer,CGY,LW,27,4,4,8,-2,22,32,0,1,0,0,0,42,12
Devon Toews,COL,D,28,4,11,15,5,6,49,0,0,2,0,1,20,40
Miles Wood,COL,LW,28,4,5,9,-1,22,58,0,0,0,1,0,30,10
Jake DeBrusk,BOS,LW,25,4,7,11,6,6,57,0,1,0,0,0,25,13
Nicolas Roy,VGK,C,20,4,7,11,5,6,38,0,0,2,0,0,11,7
Vince Dunn,SEA,D,29,4,18,22,-13,39,63,0,2,8,0,1,17,25
Rasmus Andersson,CGY,D,24,4,12,16,-1,23,55,1,0,3,1,0,13,57
Nic Dowd,WAS,C,16,4,1,5,6,8,20,2,0,0,0,0,16,21
Jacob Middleton,MIN,D,26,4,6,10,-4,28,24,1,0,0,0,1,37,65
Danton Heinen,BOS,LW,18,4,5,9,7,6,29,2,0,0,0,0,12,14
Colton Parayko,STL,D,27,4,4,8,-3,6,54,2,0,0,0,1,30,64
Alex Iafallo,WPG,C,26,4,9,13,-4,2,49,0,2,2,0,1,9,21
Johnny Kovacevic,MON,D,28,4,1,5,3,14,23,0,0,0,0,0,23,38
Emil Bemstrom,CLS,C,15,4,3,7,-5,4,24,0,3,0,0,0,7,10
Logan O'Connor,COL,C,26,4,4,8,6,22,35,3,0,0,3,0,16,20
Pierre Engvall,NYI,LW,26,4,9,13,2,10,36,0,1,1,0,0,6,4
Jack McBain,ARI,C,13,4,3,7,1,11,16,0,0,0,0,0,33,6
Victor Olofsson,BUF,LW,23,4,7,11,0,4,35,0,0,2,0,0,7,7
Michael Eyssimont,TB,C,28,4,5,9,-1,31,59,1,0,1,0,0,34,10
Eetu Luostarinen,FLA,LW,27,4,3,7,1,8,40,1,0,0,0,0,33,22
Jacob MacDonald,SJ,D,13,4,1,5,-9,6,23,0,2,1,0,0,12,5
Andrei Kuzmenko,VAN,LW,25,4,11,15,0,2,38,1,1,4,0,0,2,6
Bobby Brink,PHI,RW,22,4,9,13,3,6,32,1,2,2,0,0,2,10
Dylan Cozens,BUF,C,27,4,9,13,-7,25,67,1,1,3,0,0,22,8
Cam York,PHI,D,27,4,7,11,-6,24,43,0,0,2,0,0,13,50
Blake Lizotte,LA,LW,19,4,3,7,7,4,25,2,0,0,1,0,15,5
Paul Cotter,VGK,C,29,4,6,10,-2,27,36,0,2,1,0,0,93,13
Dakota Joshua,VAN,LW,27,4,4,8,4,31,28,2,0,0,0,0,80,14
Matias Maccelli,ARI,LW,27,4,16,20,4,4,54,0,0,4,0,1,6,7
John Beecher,BOS,C,25,4,1,5,-5,13,21,1,0,0,0,0,42,18
Brandon Duhaime,MIN,LW,26,4,1,5,2,38,33,0,0,0,1,0,49,9
Moritz Seider,DET,D,27,4,13,17,2,24,55,0,3,8,0,0,50,63
Luke Evangelista,NSH,RW,27,4,10,14,1,4,43,0,0,3,0,0,7,12
Cole Smith,NSH,LW,27,4,6,10,4,33,34,2,0,0,0,2,71,11
Matty Beniers,SEA,C,29,4,9,13,-20,8,54,1,2,4,0,0,14,10
Luke Hughes,NJ,D,26,4,12,16,-1,8,39,1,3,5,0,0,6,13
Radim Zohorna,PIT,RW,21,3,3,6,0,10,31,1,0,0,0,0,25,2
Martin Pospisil,CGY,C,16,3,2,5,3,8,35,0,0,0,0,0,38,6
Aliaksei Protas,WAS,C,24,3,8,11,1,2,31,0,0,0,0,1,4,14
Brett Leason,ANH,RW,23,3,3,6,-1,6,32,0,0,0,0,0,27,12
Nick Robertson,TOR,LW,14,3,4,7,2,0,22,0,0,0,0,0,9,7
Logan Cooley,ARI,C,27,3,12,15,-11,8,45,1,2,8,0,0,5,12
Filip Zadina,SJ,RW,23,3,3,6,-19,6,35,1,1,0,0,0,10,13
